target,8503120,8506302,8506038,8591193,8591127,8502572,8503052
8573603,00d01:04:00,00d00:28:00,00d00:47:00,00d01:09:00,00d00:56:00,00d01:08:00,00d01:08:00
8573616,00d01:03:00,00d00:27:00,00d00:46:00,00d01:08:00,00d00:55:00,00d01:07:00,00d01:07:00
8573656,00d01:01:00,00d00:45:00,00d00:12:00,00d00:41:00,00d00:37:00,00d00:48:00,00d00:47:00
8573657,00d01:06:00,00d00:47:00,00d00:21:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8573658,00d01:08:00,00d00:49:00,00d00:23:00,00d00:45:00,00d00:41:00,00d00:52:00,00d00:54:00
8573659,00d01:08:00,00d00:53:00,00d00:27:00,00d00:49:00,00d00:45:00,00d00:56:00,00d00:54:00
8573660,00d01:08:00,00d00:59:00,00d00:36:00,00d00:55:00,00d00:52:00,00d01:00:00,00d00:57:00
8573661,00d01:09:00,00d01:00:00,00d00:37:00,00d00:56:00,00d00:53:00,00d01:01:00,00d00:58:00
8573662,00d01:10:00,00d01:01:00,00d00:38:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:59:00
8573671,00d01:02:00,00d00:45:00,00d00:19:00,00d00:41:00,00d00:37:00,00d00:48:00,00d00:48:00
8573673,00d01:06:00,00d00:47:00,00d00:21:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8573674,00d01:07:00,00d00:50:00,00d00:24:00,00d00:46:00,00d00:42:00,00d00:53:00,00d00:53:00
8573675,00d01:08:00,00d00:52:00,00d00:26:00,00d00:48:00,00d00:44:00,00d00:55:00,00d00:54:00
8573691,00d01:04:00,00d00:46:00,00d00:20:00,00d00:42:00,00d00:38:00,00d00:49:00,00d00:50:00
8573692,00d01:07:00,00d00:48:00,00d00:22:00,00d00:44:00,00d00:40:00,00d00:51:00,00d00:53:00
8573693,00d01:09:00,00d00:50:00,00d00:24:00,00d00:46:00,00d00:42:00,00d00:53:00,00d00:55:00
8573694,00d01:06:00,00d00:51:00,00d00:25:00,00d00:47:00,00d00:43:00,00d00:54:00,00d00:52:00
8573695,00d01:10:00,00d01:06:00,00d00:28:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:56:00
8573701,00d01:06:00,00d00:51:00,00d00:34:00,00d00:53:00,00d00:50:00,00d00:58:00,00d00:52:00
8575918,00d00:40:00,00d00:51:00,00d00:32:00,00d00:25:00,00d00:21:00,00d00:33:00,00d00:34:00
8575919,00d00:41:00,00d00:59:00,00d00:36:00,00d00:34:00,00d00:27:00,00d00:40:00,00d00:44:00
8575927,00d00:32:00,00d01:00:00,00d00:44:00,00d00:36:00,00d00:32:00,00d00:41:00,00d00:45:00
8575929,00d01:01:00,00d01:08:00,00d00:53:00,00d00:44:00,00d00:40:00,00d00:49:00,00d00:53:00
8575930,00d01:03:00,00d01:10:00,00d00:55:00,00d00:46:00,00d00:42:00,00d00:51:00,00d00:55:00
8575937,00d00:54:00,00d01:01:00,00d00:38:00,00d00:37:00,00d00:33:00,00d00:42:00,00d00:46:00
8575938,00d00:58:00,00d01:05:00,00d00:42:00,00d00:41:00,00d00:37:00,00d00:46:00,00d00:50:00
8575939,00d01:01:00,00d01:08:00,00d00:43:00,00d00:44:00,00d00:40:00,00d00:49:00,00d00:53:00
8575940,00d00:56:00,00d01:03:00,00d00:40:00,00d00:39:00,00d00:34:00,00d00:43:00,00d00:48:00
8575941,00d01:03:00,00d01:08:00,00d00:42:00,00d00:46:00,00d00:42:00,00d00:51:00,00d00:55:00
8575942,00d01:05:00,00d01:05:00,00d00:39:00,00d00:48:00,00d00:44:00,00d00:53:00,00d00:57:00
8575943,00d01:08:00,00d01:02:00,00d00:36:00,00d00:51:00,00d00:47:00,00d00:56:00,00d01:00:00
8575944,00d00:48:00,00d00:46:00,00d00:30:00,00d00:31:00,00d00:27:00,00d00:38:00,00d00:40:00
